"term id","# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"98","67","4","Reactome Pathways","","Plasma lipoprotein assembly, remodeling, and clearance","0.019","APOB|APOA1|AMN|ANGPTL3","1124","1184|1182|1167|1135","","HSA-174824","0"
"99","6","2","Reactome Pathways","","Metal sequestration by antimicrobial proteins","0.019","S100A8|S100A9","1124","1225|1237","","HSA-6799990","0"
"100","30","3","Reactome Pathways","","Plasma lipoprotein remodeling","0.019","APOB|APOA1|ANGPTL3","1124","1184|1182|1135","","HSA-8963899","0"
"101","3237","35","UniProt Keywords","","Signal","0.0206","HS3ST1|PON1|APOB|APOA1|LY75|WNT2|SEMA3D|GDF6|AMN|IGF1|CYTL1|FGB|VASN|GPR113|PLG|PGA3|FGG|CES1|SERPINC1|F5|GABRA3|ANGPTL3|WISP2|SPOCK2|NKAIN1|KIAA0319|LAMB4|SPP1|GRIN2A|COL4A3|FGL1|GABRR2|GC|LRRC24|NCAM1","1124","1163|1210|1184|1182|1231|1154|1205|1206|1167|1230|1209|1181|1158|1138|1177|1141|1162|1235|1159|1157|1213|1135|1137|1246|1236|1215|1172|1200|1216|1221|1245|1195|1227|1168|1134","","KW-0732","0"
"102","7","2","Reactome Pathways","","Metabolism of ingested SeMet, Sec, MeSec into H2Se","0.021","MAT1A|GNMT","1124","1201|1142","","HSA-2408508","0"
"103","256","7","Reactome Pathways","","Platelet activation, signaling and aggregation","0.021","APOA1|IGF1|FGB|PLG|FGG|F5|DGKB","1124","1182|1230|1181|1177|1162|1157|1155","","HSA-76002","0"
"104","32","3","Reactome Pathways","","Plasma lipoprotein clearance","0.021","APOB|APOA1|AMN","1124","1184|1182|1167","","HSA-8964043","0"
"105","21","3","GO Process","","regulation of heterotypic cell-cell adhesion","0.0212","APOA1|FGB|FGG","1124","1182|1181|1162","","GO.0034114","0"
"106","21","3","GO Process","","fibrinolysis","0.0212","FGB|PLG|FGG","1124","1181|1177|1162","","GO.0042730","0"
"107","148","6","GO Process","","regulation of response to wounding","0.0212","FGB|PLG|FGG|SERPINC1|S100A9|SPP1","1124","1181|1177|1162|1159|1237|1200","","GO.1903034","0"
"108","97","5","GO Process","","dicarboxylic acid metabolic process","0.0218","HAL|ALDH1L1|PCK1|TAT|POX2","1124","1242|1222|1188|1219|1257","","GO.0043648","0"
"109","32","4","InterPro Domains","","Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain","0.0222","FGB|FGG|ANGPTL3|FGL1","1124","1181|1162|1135|1245","","IPR002181","0"
"110","29","4","InterPro Domains","","S100/CaBP-9k-type, calcium binding, subdomain","0.0222","S100P|S100A14|S100A8|S100A9","1124","1256|1240|1225|1237","","IPR013787","0"
"111","32","4","InterPro Domains","","Fibrinogen-like, C-terminal","0.0222","FGB|FGG|ANGPTL3|FGL1","1124","1181|1162|1135|1245","","IPR036056","0"
"112","266","7","Reactome Pathways","","Metabolism of carbohydrates","0.0237","HS3ST1|G6PC|ALDH1A1|PCK1|ALDOB|FBP1|ENSP00000461324","1124","1163|1136|1250|1188|1180|1143|1160","","HSA-71387","0"
"113","1070","17","GO Process","","secretion","0.0238","APOA1|S100P|IGF1|FGB|PLG|HBB|FGG|ARG1|SERPINC1|F5|S100A8|S100A9|HSPA1B|HRH2|ARHGAP9|ENSP00000459962|TMC6","1124","1182|1256|1230|1181|1177|1152|1162|1224|1159|1157|1225|1237|1171|1247|1185|1151|1229","","GO.0046903","0"
"114","154","6","GO Process","","hexose metabolic process","0.024","G6PC|ALDH1A1|PCK1|ALDOB|FBP1|ENSP00000461324","1124","1136|1250|1188|1180|1143|1160","","GO.0019318","0"
"115","7824","69","GO Process","","response to stimulus","0.024","PON1|APOB|APOA1|G6PC|KCNMB4|LY75|WNT2|BCL2A1|CGN|GPR174|FEZF2|SEMA3D|GDF6|RHPN1|S100P|AMN|CLEC4E|IGF1|CYTL1|FGB|VASN|GPR113|PLG|GSTM1|GPR88|PCK1|PCP4|HBB|FGG|MYH7|TAT|ARG1|POX2|CES1|SERPINC1|F5|VANGL2|S100A14|S100A8|S100A9|ABCA4|GABRA3|ANGPTL3|CYP2C8|WISP2|SPOCK2|HPCA|HSPA1B|HRH2|RGCC|RSAD2|ARHGAP9|NRG4|SPP1|LGALS9|GRIN2A|COL4A3|DGKB|GABRR2|DOCK8|FBP1|PDE1A|CEBPA|ATP1A3|ENSP00000459962|ENSP00000461324|TMC6|NCAM1|HIST1H4L","1124","1210|1184|1182|1136|1211|1231|1154|1258|1243|1191|1149|1205|1206|1233|1256|1167|1174|1230|1209|1181|1158|1138|1177|1203|1218|1188|1187|1152|1162|1175|1219|1224|1257|1235|1159|1157|1196|1240|1225|1237|1150|1213|1135|1212|1137|1246|1251|1171|1247|1148|1220|1185|1169|1200|1202|1216|1221|1155|1195|1146|1143|1239|1193|1198|1151|1160|1229|1134|1164","","GO.0050896","0"
"116","4","2","GO Process","","sequestering of zinc ion","0.0242","S100A8|S100A9","1124","1225|1237","","GO.0032119","0"
"117","1713","23","GO Process","","positive regulation of molecular function","0.0243","PON1|APOA1|ATP1B2|WNT2|ALDH1A1|IGF1|CYTL1|CDK5R2|VANGL2|S100A8|S100A9|HPCA|ALDOB|HSPA1B|RGCC|ARHGAP9|LGALS9|GRIN2A|COL4A3|RGN|DOCK8|TBC1D26|TBC1D3D","1124","1210|1182|1208|1154|1250|1230|1209|1197|1196|1225|1237|1251|1180|1171|1148|1185|1202|1216|1221|1248|1146|1147|1204","","GO.0044093","0"
"118","288","8","GO Process","","blood coagulation","0.0252","FGB|PLG|HBB|FGG|SERPINC1|F5|DGKB|DOCK8","1124","1181|1177|1152|1162|1159|1157|1155|1146","","GO.0007596","0"
"119","1609","22","GO Process","","organic substance catabolic process","0.0252","PON1|APOB|APOA1|G6PC|HAL|ALDH1L1|HGD|HPD|ALDH1A1|PGA3|TAT|ARG1|POX2|ANGPTL3|MAT1A|ALDOB|HSPA1B|SPP1|PDE1A|SATL1|PAH|UPP2","1124","1210|1184|1182|1136|1242|1222|1153|1232|1250|1141|1219|1224|1257|1135|1201|1180|1171|1200|1239|1217|1238|1139","","GO.1901575","0"
"120","3","2","Pfam","","Fibrinogen alpha/beta chain family","0.0253","FGB|FGG","1124","1181|1162","","PF08702","0"
"121","24","3","GO Process","","one-carbon metabolic process","0.0257","ALDH1L1|MAT1A|GNMT","1124","1222|1201|1142","","GO.0006730","0"
"122","366","9","GO Process","","regulation of cell-cell adhesion","0.0257","APOA1|IGF1|FGB|PLG|FGG|ARG1|RGCC|LGALS9|DOCK8","1124","1182|1230|1181|1177|1162|1224|1148|1202|1146","","GO.0022407","0"
"123","159","6","GO Process","","negative regulation of cell-cell adhesion","0.0257","APOA1|PLG|FGG|ARG1|RGCC|LGALS9","1124","1182|1177|1162|1224|1148|1202","","GO.0022408","0"
"124","1732","23","GO Process","","regulation of transport","0.0257","PON1|APOA1|ATP1B2|KCNMB4|CLEC4E|IGF1|CDK5R2|FGB|FGG|ARG1|S100A8|S100A9|HPCA|NKAIN1|RGCC|RSAD2|SPP1|LGALS9|RGN|SCN4A|TBC1D26|ENSP00000459962|TBC1D3D","1124","1210|1182|1208|1211|1174|1230|1197|1181|1162|1224|1225|1237|1251|1236|1148|1220|1200|1202|1248|1223|1147|1151|1204","","GO.0051049","0"
"125","892","15","GO Process","","positive regulation of transport","0.0257","PON1|ATP1B2|CLEC4E|IGF1|CDK5R2|FGB|FGG|S100A8|S100A9|HPCA|RGCC|SPP1|LGALS9|RGN|ENSP00000459962","1124","1210|1208|1174|1230|1197|1181|1162|1225|1237|1251|1148|1200|1202|1248|1151","","GO.0051050","0"
"126","299","8","GO Component","","endoplasmic reticulum lumen","0.0263","APOB|APOA1|FGG|CES1|SERPINC1|F5|SPP1|COL4A3","1124","1184|1182|1162|1235|1159|1157|1200|1221","","GO.0005788","0"
"127","5","2","KEGG Pathways","","Phenylalanine, tyrosine and tryptophan biosynthesis","0.0267","TAT|PAH","1124","1219|1238","","hsa00400","0"
"128","452","10","GO Process","","regulation of peptide secretion","0.0276","APOA1|CLEC4E|IGF1|FGB|FGG|S100A8|S100A9|RGCC|RSAD2|LGALS9","1124","1182|1174|1230|1181|1162|1225|1237|1148|1220|1202","","GO.0002791","0"
"129","61","4","GO Process","","regulation of vasoconstriction","0.0279","KCNMB4|FGB|FGG|HRH2","1124","1211|1181|1162|1247","","GO.0019229","0"
"130","83","4","Reactome Pathways","","Integrin cell surface interactions","0.0284","FGB|FGG|SPP1|COL4A3","1124","1181|1162|1200|1221","","HSA-216083","0"
"131","5","2","GO Process","","fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate","0.0288","ALDH1A1|ALDOB","1124","1250|1180","","GO.0061624","0"
"132","5","2","GO Process","","negative regulation of cell-cell adhesion mediated by cadherin","0.0288","PLG|RGCC","1124","1177|1148","","GO.2000048","0"
"133","110","5","GO Process","","multicellular organismal signaling","0.0289","ATP1B2|KCNMB4|GPR88|SCN4A|ATP1A3","1124","1208|1211|1218|1223|1198","","GO.0035637","0"
"134","828","14","GO Component","","secretory granule","0.0294","APOA1|S100P|IGF1|FGB|PLG|HBB|FGG|ARG1|F5|S100A8|S100A9|HSPA1B|ARHGAP9|TMC6","1124","1182|1256|1230|1181|1177|1152|1162|1224|1157|1225|1237|1171|1185|1229","","GO.0030141","0"
"135","111","5","GO Process","","lipid homeostasis","0.0297","APOB|APOA1|G6PC|ANGPTL3|CEBPA","1124","1184|1182|1136|1135|1193","","GO.0055088","0"
"136","40","3","Reactome Pathways","","Binding and Uptake of Ligands by Scavenger Receptors","0.0298","APOB|APOA1|HBB","1124","1184|1182|1152","","HSA-2173782","0"
"137","10","2","Reactome Pathways","","Chylomicron assembly","0.0298","APOB|APOA1","1124","1184|1182","","HSA-8963888","0"
"138","10","2","Reactome Pathways","","Chylomicron remodeling","0.0298","APOB|APOA1","1124","1184|1182","","HSA-8963901","0"
"139","6","2","GO Component","","intermediate-density lipoprotein particle","0.0302","APOB|APOA1","1124","1184|1182","","GO.0034363","0"
"140","68","4","KEGG Pathways","","Glycolysis / Gluconeogenesis","0.0313","G6PC|PCK1|ALDOB|FBP1","1124","1136|1188|1180|1143","","hsa00010","0"
"141","30","3","KEGG Pathways","","Pentose phosphate pathway","0.0313","ALDOB|RGN|FBP1","1124","1180|1248|1143","","hsa00030","0"
"142","1250","18","KEGG Pathways","","Metabolic pathways","0.0313","G6PC|HAL|HGD|HPD|ALDH1A1|PCK1|TAT|ARG1|CES1|HMGCS2|CYP2C8|MAT1A|ALDOB|RGN|DGKB|FBP1|PAH|UPP2","1124","1136|1242|1153|1232|1250|1188|1219|1224|1235|1170|1212|1201|1180|1248|1155|1143|1238|1139","","hsa01100","0"
"143","113","5","GO Process","","glucose metabolic process","0.0318","G6PC|PCK1|ALDOB|FBP1|ENSP00000461324","1124","1136|1188|1180|1143|1160","","GO.0006006","0"
"144","948","15","GO Component","","secretory vesicle","0.032","APOA1|S100P|IGF1|FGB|PLG|HBB|FGG|ARG1|F5|S100A8|S100A9|HSPA1B|ARHGAP9|GRIN2A|TMC6","1124","1182|1256|1230|1181|1177|1152|1162|1224|1157|1225|1237|1171|1185|1216|1229","","GO.0099503","0"
"145","467","10","GO Process","","cofactor metabolic process","0.0322","ALDH1L1|AMN|GSTM1|HBB|TAT|MAT1A|GNMT|ALDOB|RGN|ELOVL7","1124","1222|1167|1203|1152|1219|1201|1142|1180|1248|1156","","GO.0051186","0"
"146","1238","18","GO Process","","regulation of hydrolase activity","0.0339","APOA1|ATP1B2|ALDH1A1|SERPINC1|S100A8|S100A9|ANGPTL3|SPOCK2|HPCA|ALDOB|ARHGAP9|LGALS9|GRIN2A|COL4A3|RGN|DOCK8|TBC1D26|TBC1D3D","1124","1182|1208|1250|1159|1225|1237|1135|1246|1251|1180|1185|1202|1216|1221|1248|1146|1147|1204","","GO.0051336","0"
"147","6","2","GO Process","","peptidyl-cysteine S-nitrosylation","0.035","S100A8|S100A9","1124","1225|1237","","GO.0018119","0"
"148","6507","59","GO Process","","multicellular organismal process","0.035","APOB|APOA1|ATP1B2|G6PC|KCNMB4|WNT2|FEZF2|SEMA3D|GDF6|S100P|RPL10L|CLMN|AMN|CLEC4E|IGF1|CYTL1|CDK5R2|KRTAP1-1|FGB|PLG|GPR88|PGA3|PCP4|HBB|FGG|MYH7|ARG1|KRTAP1-5|SERPINC1|F5|VANGL2|S100A8|S100A9|ABCA4|ANGPTL3|SPOCK2|HPCA|GJB1|SOX21|HRH2|KIAA0319|RGCC|RSAD2|NRG4|SPP1|LGALS9|GRIN2A|COL4A3|RGN|DGKB|GABRR2|DOCK8|SCN4A|MYBPC1|CELF4|CEBPA|ATP1A3|ENSP00000459962|NCAM1","1124","1184|1182|1208|1136|1211|1154|1149|1205|1206|1256|1253|1176|1167|1174|1230|1209|1197|1214|1181|1177|1218|1141|1187|1152|1162|1175|1224|1145|1159|1157|1196|1225|1237|1150|1135|1246|1251|1241|1207|1247|1215|1148|1220|1169|1200|1202|1216|1221|1248|1155|1195|1146|1223|1259|1254|1193|1198|1151|1134","","GO.0032501","0"
"149","36","3","KEGG Pathways","","Tyrosine metabolism","0.0351","HGD|HPD|TAT","1124","1153|1232|1219","","hsa00350","0"
"150","37","3","KEGG Pathways","","Aldosterone-regulated sodium reabsorption","0.0351","ATP1B2|IGF1|ATP1A3","1124","1208|1230|1198","","hsa04960","0"
"151","3","2","InterPro Domains","","Fibrinogen, alpha/beta/gamma chain, coiled coil domain","0.0353","FGB|FGG","1124","1181|1162","","IPR012290","0"
"152","19","3","InterPro Domains","","Fibrinogen, conserved site","0.0353","FGB|FGG|FGL1","1124","1181|1162|1245","","IPR020837","0"
"153","30","3","GO Process","","glutamate metabolic process","0.0372","HAL|TAT|POX2","1124","1242|1219|1257","","GO.0006536","0"
"154","10","2","KEGG Pathways","","Ubiquinone and other terpenoid-quinone biosynthesis","0.0374","HPD|TAT","1124","1232|1219","","hsa00130","0"
"155","42","3","KEGG Pathways","","Carbohydrate digestion and absorption","0.0374","ATP1B2|G6PC|ATP1A3","1124","1208|1136|1198","","hsa04973","0"
"156","90","4","KEGG Pathways","","Protein digestion and absorption","0.0374","ATP1B2|PGA3|COL4A3|ATP1A3","1124","1208|1141|1221|1198","","hsa04974","0"
"157","40","3","KEGG Pathways","","Nicotine addiction","0.0374","GABRA3|GRIN2A|GABRR2","1124","1213|1216|1195","","hsa05033","0"
"158","69","4","GO Process","","triglyceride metabolic process","0.0375","APOB|APOA1|G6PC|PCK1","1124","1184|1182|1136|1188","","GO.0006641","0"
"159","69","4","GO Process","","glutamine family amino acid metabolic process","0.0375","HAL|TAT|ARG1|POX2","1124","1242|1219|1224|1257","","GO.0009064","0"
"160","31","3","GO Process","","neuronal action potential","0.0391","KCNMB4|GPR88|SCN4A","1124","1211|1218|1223","","GO.0019228","0"
"161","249","7","GO Process","","regulation of blood circulation","0.0391","ATP1B2|KCNMB4|FGB|FGG|MYH7|HRH2|ATP1A3","1124","1208|1211|1181|1162|1175|1247|1198","","GO.1903522","0"
"162","250","7","GO Process","","positive regulation of DNA-binding transcription factor activity","0.0392","WNT2|CYTL1|S100A8|S100A9|HSPA1B|RGCC|LGALS9","1124","1154|1209|1225|1237|1171|1148|1202","","GO.0051091","0"
"163","71","4","GO Process","","cholesterol homeostasis","0.0395","APOB|APOA1|G6PC|ANGPTL3","1124","1184|1182|1136|1135","","GO.0042632","0"
"164","123","5","GO Process","","isoprenoid metabolic process","0.0397","APOB|APOA1|ALDH1A1|HMGCS2|ABCA4","1124","1184|1182|1250|1170|1150","","GO.0006720","0"
"165","7","2","GO Process","","response to selenium ion","0.0397","APOB|ARG1","1124","1184|1224","","GO.0010269","0"
"166","7","2","GO Process","","fructose 1,6-bisphosphate metabolic process","0.0397","ALDOB|FBP1","1124","1180|1143","","GO.0030388","0"
"167","959","15","GO Process","","secretion by cell","0.0397","APOA1|S100P|IGF1|FGB|PLG|HBB|FGG|ARG1|F5|S100A8|S100A9|HSPA1B|ARHGAP9|ENSP00000459962|TMC6","1124","1182|1256|1230|1181|1177|1152|1162|1224|1157|1225|1237|1171|1185|1151|1229","","GO.0032940","0"
"168","1381","19","GO Process","","positive regulation of catalytic activity","0.0397","APOA1|ATP1B2|ALDH1A1|IGF1|CDK5R2|VANGL2|S100A8|S100A9|HPCA|ALDOB|RGCC|ARHGAP9|LGALS9|GRIN2A|COL4A3|RGN|DOCK8|TBC1D26|TBC1D3D","1124","1182|1208|1250|1230|1197|1196|1225|1237|1251|1180|1148|1185|1202|1216|1221|1248|1146|1147|1204","","GO.0043085","0"
"169","32","3","GO Process","","positive regulation of substrate adhesion-dependent cell spreading","0.0397","APOA1|FGB|FGG","1124","1182|1181|1162","","GO.1900026","0"
"170","13","2","Reactome Pathways","","Scavenging of heme from plasma","0.041","APOA1|HBB","1124","1182|1152","","HSA-2168880","0"
"171","13","2","Reactome Pathways","","GRB2:SOS provides linkage to MAPK signaling for Integrins","0.041","FGB|FGG","1124","1181|1162","","HSA-354194","0"
"172","676","12","GO Process","","regulation of defense response","0.0411","APOB|APOA1|CLEC4E|FGB|FGG|ARG1|S100A14|S100A8|S100A9|HSPA1B|RSAD2|LGALS9","1124","1184|1182|1174|1181|1162|1224|1240|1225|1237|1171|1220|1202","","GO.0031347","0"
"173","33","3","GO Process","","positive regulation of vasoconstriction","0.0411","FGB|FGG|HRH2","1124","1181|1162|1247","","GO.0045907","0"
"174","2672","30","GO Process","","cellular response to chemical stimulus","0.0411","APOB|WNT2|CGN|GDF6|IGF1|FGB|VASN|GSTM1|PCK1|HBB|FGG|ARG1|POX2|CES1|S100A8|S100A9|CYP2C8|SPOCK2|HPCA|HSPA1B|RGCC|RSAD2|SPP1|LGALS9|DOCK8|FBP1|CEBPA|ATP1A3|ENSP00000459962|NCAM1","1124","1184|1154|1243|1206|1230|1181|1158|1203|1188|1152|1162|1224|1257|1235|1225|1237|1212|1246|1251|1171|1148|1220|1200|1202|1146|1143|1193|1198|1151|1134","","GO.0070887","0"
"175","589","11","GO Process","","positive regulation of immune response","0.0427","APOB|CLEC4E|FGB|FGG|S100A14|S100A8|S100A9|HSPA1B|RGCC|RSAD2|LGALS9","1124","1184|1174|1181|1162|1240|1225|1237|1171|1148|1220|1202","","GO.0050778","0"
"176","11","3","GO Function","","RAGE receptor binding","0.0431","S100P|S100A8|S100A9","1124","1256|1225|1237","","GO.0050786","0"
"177","34","3","GO Process","","zymogen activation","0.0436","FGB|FGG|GRIN2A","1124","1181|1162|1216","","GO.0031638","0"
"178","34","3","GO Process","","regulation of triglyceride metabolic process","0.0436","APOA1|THRSP|RGN","1124","1182|1161|1248","","GO.0090207","0"
"179","14","2","Reactome Pathways","","p130Cas linkage to MAPK signaling for integrins","0.0439","FGB|FGG","1124","1181|1162","","HSA-372708","0"
"180","882","14","GO Process","","positive regulation of immune system process","0.0447","APOB|CLEC4E|IGF1|FGB|FGG|ARG1|S100A14|S100A8|S100A9|HSPA1B|RGCC|RSAD2|LGALS9|DOCK8","1124","1184|1174|1230|1181|1162|1224|1240|1225|1237|1171|1148|1220|1202|1146","","GO.0002684","0"
"181","1857","23","GO Process","","response to external stimulus","0.0447","PON1|APOB|APOA1|G6PC|FEZF2|SEMA3D|CLEC4E|FGB|PCK1|ARG1|SERPINC1|VANGL2|S100A14|S100A8|S100A9|ABCA4|HPCA|RSAD2|SPP1|LGALS9|GRIN2A|ENSP00000459962|NCAM1","1124","1210|1184|1182|1136|1149|1205|1174|1181|1188|1224|1159|1196|1240|1225|1237|1150|1251|1220|1200|1202|1216|1151|1134","","GO.0009605","0"
"182","8","2","GO Process","","chylomicron remodeling","0.0447","APOB|APOA1","1124","1184|1182","","GO.0034371","0"
"183","339","8","GO Process","","extracellular structure organization","0.0447","APOB|APOA1|FGB|PLG|FGG|SPOCK2|SPP1|COL4A3","1124","1184|1182|1181|1177|1162|1246|1200|1221","","GO.0043062","0"
"184","1299","18","GO Process","","regulation of response to stress","0.0447","APOB|APOA1|GDF6|CLEC4E|FGB|PLG|FGG|ARG1|SERPINC1|VANGL2|S100A14|S100A8|S100A9|HSPA1B|RSAD2|SPP1|LGALS9|RGN","1124","1184|1182|1206|1174|1181|1177|1162|1224|1159|1196|1240|1225|1237|1171|1220|1200|1202|1248","","GO.0080134","0"
"185","10","2","UniProt Keywords","","Sodium/potassium transport","0.0448","ATP1B2|ATP1A3","1124","1208|1198","","KW-0740","0"
"186","48","3","KEGG Pathways","","Cholesterol metabolism","0.0454","APOB|APOA1|ANGPTL3","1124","1184|1182|1135","","hsa04979","0"
"187","78","4","GO Process","","protein homotetramerization","0.0462","MAT1A|GNMT|FBP1|ENSP00000459962","1124","1201|1142|1143|1151","","GO.0051289","0"
"188","1098","16","GO Process","","negative regulation of multicellular organismal process","0.0479","APOA1|FEZF2|IGF1|FGB|VASN|PLG|FGG|ARG1|KIAA0319|RGCC|SPP1|LGALS9|COL4A3|RGN|CELF4|HIST1H4L","1124","1182|1149|1230|1181|1158|1177|1162|1224|1215|1148|1200|1202|1221|1248|1254|1164","","GO.0051241","0"
"189","79","4","GO Process","","negative regulation of response to wounding","0.0479","FGB|PLG|FGG|SPP1","1124","1181|1177|1162|1200","","GO.1903035","0"
"190","25","3","InterPro Domains","","S100/Calbindin-D9k, conserved site","0.0487","S100P|S100A8|S100A9","1124","1256|1225|1237","","IPR001751","0"
"191","11","2","UniProt Keywords","","Glycation","0.0492","APOA1|HBB","1124","1182|1152","","KW-0971","0"
